,,,,,,,,,,,
,,,,,,,,,,,
,,,,1,21,,,,,,
,,,,,,SOLWENT - PLAKATY,,,,,
,,,,,,,,,,,
,SOLWENT - PLAKATY,,,,,MINIMALKA 1m2! -,,,,,
,,,,,,"jeśli klient potrzebuje mniejszego wydruku, przyjmujemy zlecenie ale i tak płaci za minimalkę.",,,,,
,MINIMALKA 1m2! - 1 wzór,,,,,,,,,,
,"jeśli klient potrzebuje mniejszego wydruku,",,,,,Papier 150g półmat,,,,,
,przyjmujemy zlecenie ale i tak płaci za minimalkę.,,,,,,,,,,
,,,,,,Ilość,cena / m2,,,,
,Papier 200g połysk,,,,,1 - 3 m2,65 zł / m2,,,,
,,,,,,4 - 9 m2,60 zł / m2,,,,
,Ilość,cena / m2,,,,10 - 20 m2,55 zł / m2,,,,
,1-3 m2,70 zł / m2,,,,21 - 40 m2,50 zł / m2,,,,
,4-9 m2,65 zł / m2,,,,41 m2 i więcej,42 zł / m2,,,,
,10-20 m2,59 zł / m2,,,,,,,,,
,21-40 m2,53 zł / m2,,,,Papier 115g matowy,,,,,
,41 m2 i więcej,45 zł / m2,,,,,,,,,
,,,,,,Ilość,cena / m2,,,,
,Papier BLOCKOUT 200g satyna,,,,,1 - 3 m2,45 zł / m2,,,,
,,,,,,4 - 19 m2,40 zł / m2,,,,
,Ilość,cena / m2,,,,20 - m2 i więcej,35 zł / m2,,,,
,1-3 m2,80 zł / m2,,,,,,,,,
,4-9 m2,75 zł / m2,,,,,,,,,
,10-20 m2,70 zł / m2,,,,,,,,,
,21-40 m2,65 zł / m2,,,,,,,,,
,41 m2 i więcej,60 zł / m2,,,,,,,,,
,Druk wielkiformatowy kolorowy - WEKTOR,,,,,,,,,,
,,,,,,,,,,,
,cena,FORMATOWE,,,,,,,,,
,"26,00zł",Drukowanie kolor A0+ papier 80g/m2 WEKTOR,914x1292,,,,,,,,
,"24,00zł",Drukowanie kolor A0 papier 80g/m2 WEKTOR,841x1189,,,,,,,,
,"12,00zł",Drukowanie kolor A1 papier 80g/m2 WEKTOR,594x841,,,,,,,,
,"8,50zł",Drukowanie kolor A2 papier 80g/m2 WEKTOR,420x594,,,,,,,,
,"5,30zł",Drukowanie kolor A3 papier 80g/m2 WEKTOR,297x420 zł,,,,,,,,
,,,,,,,,,,,
,NIEFORMATOWE - KOLOR [MB],,,,,,,,,,
,,,,,,,,,,,
,Druk wielkiformatowy kolorowy - WEKTOR,,,,,,,,,,
,,,,,,,,,,,
,cena [MB],NIEFORMATOWE [MB] i długość x cena formatu,,,,,,,,,
,"21,00zł",Drukowanie kolor z roli A0+ papier 80g/m2 WEKTOR [MB],914x1292,,,,,,,,
,"20,00zł",Drukowanie kolor z roli A0 papier 80g/m2 WEKTOR [MB],841x1189,,,,,,,,
,"14,50zł",Drukowanie kolor z roli A1 papier 80g/m2 WEKTOR [MB],594x841,,,,,,,,
,"13,90zł",Drukowanie kolor z roli A2 papier 80g/m2 WEKTOR [MB],420x594,,,,,,,,
,"12,00zł",Drukowanie kolor z roli A3 papier 80g/m2 WEKTOR [MB],297x420 zł,,,,,,,,
,"30,00zł",Drukowanie kolor z roli 1067 papier 80g/m2 WEKTOR [MB],rolka 1067,,,,,,,,
,Zmniejszanie/Powiększanie pliku + 50% do ceny,,,,,,,,,,
,Ilości powyżej 30m2 wycena indywidualna,,,,,,,,,,
,APELNIENIE powyżej 25% doliczamy 50% ceny podstawowej,,,,,,,,,,
,,,,,,,,,,,
ULOTKI - CYFROWE DWUSTRONNE,,,,,12,,,,,,
,,,,,,,,,,,
Ilość,A6 (105x148) CENA [zł],A5 (148 x 210) CENA [zł],DL (99 x 210) CENA [zł],,,,,,,,
10 szt,"40,00zł",45zł,40zł,,,,,,,,
20 szt,"47,00zł","55,00zł",50zł,,,,,,,,
30 szt,"49,00zł","60,00zł",55zł,,,,,,,,
40 szt,"55,00zł","72,00zł",65zł,,,,,,,,
50 szt,"60,00zł","90,00zł",70zł,,,,,,,,
60 szt,"65,00zł","99,00zł",78zł,,,,,,,,
70 szt,"70,00zł","112,00zł",88zł,,,,,,,,
80 szt,"75,00zł","122,00zł",99zł,,,,,,,,
90 szt,"90,00zł","130,00zł",109zł,,,,,,,,
100 szt,"95,00zł","140,00zł",119zł,,,,,,,,
150 szt,"120,00zł","180,00zł",150zł,,,,,,,,
200 szt,"140,00zł","220,00zł",179zł,,,,,,,,
300 szt,"190,00zł","310,00zł",235zł,,,,,,,,
400 szt,"230,00zł","390,00zł",290zł,,,,,,,,
500 szt,"270,00zł","460,00zł",350zł,,,,,,,,
700 szt,"355,00zł","620,00zł",460zł,,,,,,,,
1000 szt,"476,00zł","790,00zł",590zł,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,13,,,,,,
ULOTKI - CYFROWE JEDNOSTRONNE,,,,,,,,,,,
,,,,,,,,,,,
Ilość,A6 (105x148) CENA [zł],A5 (148 x 210) CENA [zł],DL (99 x 210) CENA [zł],,,,,,,,
10 szt,"30,00zł",35zł,30zł,,,,,,,,
20 szt,"35,00zł","42,00zł",35zł,,,,,,,,
30 szt,"40,00zł","50,00zł",40zł,,,,,,,,
40 szt,"45,00zł","59,00zł",45zł,,,,,,,,
50 szt,"55,00zł","69,00zł",55zł,,,,,,,,
60 szt,"61,00zł","75,00zł",60zł,,,,,,,,
70 szt,"65,00zł","82,00zł",65zł,,,,,,,,
80 szt,"70,00zł","88,00zł",70zł,,,,,,,,
90 szt,"75,00zł","93,00zł",75zł,,,,,,,,
100 szt,"79,00zł","95,00zł",83zł,,,,,,,,
150 szt,"90,00zł","130,00zł",100zł,,,,,,,,
200 szt,"110,00zł","150,00zł",120zł,,,,,,,,
300 szt,"145,00zł","210,00zł",160zł,,,,,,,,
400 szt,"160,00zł","259,00zł",199zł,,,,,,,,
500 szt,"190,00zł","300,00zł",230zł,,,,,,,,
700 szt,"255,00zł","410,00zł",310zł,,,,,,,,
1000 szt,"320,00zł","530,00zł",399zł,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
PLAKATY do 9 szt - MAŁY CANON,,,,,14,,,,,,
,,,,,,,,,,,
z marginesem do 9 szt. - 170g,,,,,,,,,,,
,,,,,,,,,,,
,Plakaty A4/A3 (jednostronne),,,,,,,,,,
,kreda 130/170g A4/A3,,,,,,,,,,
1-3 szt.,7,,,,,,,,,,
4-9 szt.,6,,,,,,,,,,
,,,,,,,,,,,
z marginesem do 9 szt. - 200g,,,,,,,,,,,
,,,,,,,,,,,
,Plakaty A4/A3 (jednostronne),,,,,,,,,,
,kreda 200g A4/A3,,,,,,,,,,
1-3 szt.,8,,,,,,,,,,
4-9 szt.,7,,,,,,,,,,
,,,,,,,,,,,
bez marginesu do 9 szt. - 170g,,,,,,,,,,,
,,,,,,,,,,,
,Plakaty A4/A3 (jednostronne),,,,,,,,,,
,kreda 130g/170g A4/A3,,,,,,,,,,
1-3 szt.,10,,,,,,,,,,
4-9 szt.,8,,,,,,,,,,
,,,,,,,,,,,
bez marginesu do 9 szt. - 200g,,,,,,,,,,,
,,,,,,,,,,,
,Plakaty A4/A3 (jednostronne),,,,,,,,,,
,kreda 200g A4/A3,,,,,,,,,,
1-3 szt.,11,,,,,,,,,,
4-9 szt.,9,,,,,,,,,,
Czas realizacji: 1-2 dni robocze,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Folia / Papier samoprzylepne - Arkusze i Plotowane,,,,,,,,,,
,,,,,,,,,,,
,Ilość,PAPIER SRA3 Papier z klejem MAT/BŁYSK,FOLIA SRA3 Folia BIAŁA / BEZBARWNA,PLOTOWANE + CIĘTE NA SZTUKI NAKLEJKI PAPIER Papier z klejem MAT/BŁYSK,PLOTOWANE + CIĘTE NA SZTUKI NAKLEJKI Folia Folia BIAŁA / BEZBARWNA,EXPRESS NAKLEJKI ,,,,,
,1 szt,"20,00zł",59zł,40zł,50zł,Tego samego dnia,,,,,
,2 szt,"25,00 ZŁ","81,00zł",55zł,75zł,Tego samego dnia,,,,,
,3 szt,"29,00 ZŁ","102,00zł",70zł,99zł,Tego samego dnia,,,,,
,4 szt,"33,00 ZŁ","124,00zł",85zł,123zł,Tego samego dnia,,,,,
,5 szt,"36,00zł","145,00zł",95zł,145zł,Tego samego dnia,,,,,
,6 szt,"40,00zł","166,00zł",110zł,170zł,Tego samego dnia,,,,,
,7 szt,"44,00zł","188,00zł",115zł,190zł,Tego samego dnia,,,,,
,8 szt,"47,00zł","206,00zł",129zł,210zł,Tego samego dnia,,,,,
,9 szt,"51,00zł","226,00zł",145zł,240zł,Tego samego dnia,,,,,
,10 szt,"54,00zł","245,00zł",150zł,250zł,Tego samego dnia,,,,,
,15 szt,"75,00zł","295,00zł",189zł,330zł,Tego samego dnia,,,,,
,20 szt,"79,00zł","340,00zł",169zł,399zł,Tego samego dnia,,,,,
,25 szt,"105,00zł","380,00zł",210zł,490zł,Tego samego dnia,,,,,
,30 szt,"119,00zł","420,00zł",249zł,580zł,Tego samego dnia,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
WYDRUKI SPECJALNE - MODIGLIANI - DO 3 SZTUK,,,,16,,,,,,,
,,,,,,,,,,,
Wydruk Kolor MODIGLIANI,,,,,,,,,15,,
,,,,,,,,,,,
Format/Rodzaj papieru,Cena,,,,,,,,,,
Modigliani 260g A-4,"12,00 zł/strona",,,,,,,,,,
Modigliani 260g A-3,"15,00 zł/strona",,,,,,,,,,
