Plakaty ,,,,,,,,,
Ilość (szt),A4 170g kreda 130/170,A3 170g kreda 130/170,A4 200g kreda 200,A3 200g kreda 200,,,,,
do 4 str.,"2,00zł",,,,,,,,
od 5 str.,"1,00zł",,,,,,,,
🏷️ Etykiety czarno-białe,,,,,,,,,
Format,Cena,,,,,,,,
A6,"1,60zł",,,,,,,,
A4,"2,00zł",,,,,,,,
Vouchery – druk cyfrowy (Kreda 200–350 g),,,,,,,,,
Ilość,A4 jednostronne,A4 dwustronne,,,,,,,
1 szt,"20,00zł","25,00zł",,,,,,,
2 szt,"29,00zł","32,00zł",,,,,,,
3 szt,"30,00zł","37,00zł",,,,,,,
4 szt,"32,00zł","39,00zł",,,,,,,
5 szt,"35,00zł","43,00zł",,,,,,,
6 szt,"39,00zł","45,00zł",,,,,,,
7 szt,"41,00zł","48,00zł",,,,,,,
8 szt,"45,00zł","50,00zł",,,,,,,
9 szt,"48,00zł","52,00zł",,,,,,,
10 szt,"52,00zł","58,00zł",,,,,,,
15 szt,"60,00zł","70,00zł",,,,,,,
20 szt,"67,00zł","82,00zł",,,,,,,
25 szt,"74,00zł","100,00zł",,,,,,,
30 szt,"84,00zł","120,00zł",,,,,,,
Dopłaty:,,,,,,,,,
EXPRESS: +20%,,,,,,,,,
Papier satynowy: +12%,,,,,,,,,
Druk CAD – kolor wielkoformatowy,,,Druk CAD - CZARNO-BIAŁY wielkoformatowy,,,,,,
📏 Formatowe (WEKTOR),,,Formatowe CZ-B,,,,,,
Cena,Opis,Rozmiar,Cena,Opis,Wymiary / Rolka,,,,
"26,00zł","Druk A0, papier 80 g",914 × 1292,"12,00zł",Drukowanie cz-b A0+ papier 80g/m2 WEKTOR,914x1292,,,,
"24,00zł","Druk A0, papier 80 g",841 × 1189,"10,00zł",Drukowanie cz-b A0 papier 80g/m2 WEKTOR,841x1189,,,,
"12,00zł","Druk A1, papier 80 g",594 × 841,"8,00zł",Drukowanie cz-b A1 papier 80g/m2 WEKTOR,594x841,,,,
"8,50zł","Druk A2, papier 80 g",420 × 594,"6,00zł",Drukowanie cz-b A2 papier 80g/m2 WEKTOR,420x594,,,,
"5,30zł","Druk A3, papier 80 g",297 × 420,"3,00zł",Drukowanie cz-b A3 papier 80g/m2 WEKTOR,297x420,,,,
Niefomatowe – kolor [MB] (WEKTOR),,,"14,00zł",Drukowanie cz-b 1067 papier 80g/m2 WEKTOR,rolka 1067,,,,
Cena (MB),Opis,Rozmiar,Nieformatowe CZ-B [MB],,,,,,
"21,00zł","Druk z roli A0, papier 80 g",914 × 1292,Cena,Opis,Wymiary / Rolka,,,,
"20,00zł","Druk z roli A0, papier 80 g",841 × 1189,"10,00zł",Drukowanie cz-b z roli A0+ papier 80g/m2 WEKTOR [MB],914x1292,,,,
"14,30zł","Druk z roli A1, papier 80 g",594 × 841,"9,00zł",Drukowanie cz-b z roli A0 papier 80g/m2 WEKTOR [MB],841x1189,,,,
